Rental Price,Address,No of Beds,No of Bathrooms,Area
"$1,200","452 Franklin Street, Buffalo, NY 14202, USA",1,1,900 Sq Ft
,"4 Wadsworth Street, Buffalo, NY 14201, USA",,,
"$1,700","18 Harbour Pointe Common, Buffalo, NY 14202, USA",2,1,"5,386 Sq Ft"
,"361 Beard Avenue, Buffalo, NY 14214, USA",,,
"$4,000","445 Ashland Avenue, Buffalo, NY 14222, USA",3,2.5,"3,121 Sq Ft"
,"200 Abbott Road, Buffalo, NY 14220, USA",,,
"$1,950","1044 Elmwood Avenue, Buffalo, NY 14222, USA",3,1,"3,150 Sq Ft"
,"Buffalo, NY",,,
"$2,000","Buffalo, NY",2,1,"3,462 Sq Ft"
,"Buffalo, NY",,,
"$1,300","Buffalo, NY",3,1,"2,388 Sq Ft"
,"Buffalo, NY",,,
"$1,500","102 Mulberry Street, Buffalo, NY 14204, USA",3,1,"1,147 Sq Ft"
,"152 Oxford Avenue, Buffalo, NY 14209, USA",,,
"$5,700","91 Grant Street, Buffalo, NY 14213, USA",4,2,"2,100 Sq Ft"
,"1168 Tonawanda Street, Buffalo, NY 14207, USA",,,
"$10,500","Buffalo, NY",6,2,"1,163 Sq Ft"
,25 Homer Ave,,,
"$6,030","383 Victoria Boulevard, Buffalo, NY 14217, USA",3,1,"1,684 Sq Ft"
,"524 Richmond Avenue, Buffalo, NY 14222, USA",,,
"$6,180",306 Pennsylvania Street,1,1,"1,364 Sq Ft"
,"Buffalo, NY",,,
"$3,240",,3,1,"1,300 Sq Ft"
,,,,
"$1,200",,2,1,"1,217 Sq Ft"
,,,,
"$2,200",,2,1,805 Sq Ft
,,,,
"$1,100",,2,1,"1,764 Sq Ft"
,,,,
"$1,200",,2,1,"1,200 Sq Ft"
,,,,
"$5,250",,1,1,
,,,,
"$1,599",,1,1,
,,,,
"$1,400",,2,1,
,,,,
"$1,500",,1,1,
,,,,
"$2,950",,4,2,
,,,,
"$3,690",,2,1,
,,,,
"$1,600","302 Plymouth Avenue, Buffalo, NY 14213, USA",3,1,"1,100 Sq Ft"
,"800 West Ferry Street, Buffalo, NY 14222, USA",,,
"$1,350","104 Richmond Avenue, Buffalo, NY 14222, USA",1,1.5,745 Sq Ft
,"89 Lisbon Avenue, Buffalo, NY 14214, USA",,,
"$3,900","Buffalo, NY",4,2.5,"2,640 Sq Ft"
,"351 Roesch Avenue, Buffalo, NY 14207, USA",,,
"$2,000","237 Tacoma Avenue, Buffalo, NY 14216, USA",4,1,"1,360 Sq Ft"
,"Buffalo, NY",,,
"$2,550","Buffalo, NY",3,2,"1,688 Sq Ft"
,"174 Lancaster Avenue, Buffalo, NY 14222, USA",,,
$900,"63 Kingston Place, Buffalo, NY 14210, USA",1,1,"1,341 Sq Ft"
,"81 Montrose Avenue, Buffalo, NY 14214, USA",,,
"$1,900","Buffalo, NY",3,1,"1,163 Sq Ft"
,"439 University Avenue, Unit Upper Unit",,,
"$1,860","20 Medford Place, Unit Lower",1,1,"3,987 Sq Ft"
,"617 Niagara Street, Buffalo, NY 14201, USA",,,
"$3,090","1017 Lafayette Avenue, Buffalo, NY 14209, USA",3,1,"1,300 Sq Ft"
,"Buffalo, NY",,,
$500,"79 Commonwealth Avenue, Buffalo, NY 14216, USA",1,1,"1,335 Sq Ft"
,"Buffalo, NY",,,
"$1,100","Buffalo, NY",1,1,650 Sq Ft
,"Buffalo, NY",,,
$450,,1,1,"1,400 Sq Ft"
,,,,
"$8,190",,3,2,"2,908 Sq Ft"
,,,,
"$1,550",,3,1,"2,573 Sq Ft"
,,,,
"$1,400",,3,1,
,,,,
"$2,100",,1,1,
,,,,
"$2,300",,2,1.5,
,,,,
"$6,000",,2,1,
,,,,
"$1,600",,3,1,
,,,,
"$3,420",,2,1,
,,,,
"$5,880",,4,2,
,,,,
"$14,640",,6,2,
,,,,
"$1,200","452 Franklin Street, Buffalo, NY 14202, USA",1,1,900 Sq Ft
,"4 Wadsworth Street, Buffalo, NY 14201, USA",,,
"$1,700","18 Harbour Pointe Common, Buffalo, NY 14202, USA",2,1,"5,386 Sq Ft"
,"361 Beard Avenue, Buffalo, NY 14214, USA",,,
"$4,000","445 Ashland Avenue, Buffalo, NY 14222, USA",3,2.5,"3,121 Sq Ft"
,"200 Abbott Road, Buffalo, NY 14220, USA",,,
"$1,950","1044 Elmwood Avenue, Buffalo, NY 14222, USA",3,1,"3,150 Sq Ft"
,"Buffalo, NY",,,
"$2,000","Buffalo, NY",2,1,"3,462 Sq Ft"
,"Buffalo, NY",,,
"$1,300","Buffalo, NY",3,1,"2,388 Sq Ft"
,"Buffalo, NY",,,
"$1,500","102 Mulberry Street, Buffalo, NY 14204, USA",3,1,"1,147 Sq Ft"
,"152 Oxford Avenue, Buffalo, NY 14209, USA",,,
"$5,700","91 Grant Street, Buffalo, NY 14213, USA",4,2,"2,100 Sq Ft"
,"1168 Tonawanda Street, Buffalo, NY 14207, USA",,,
"$10,500","Buffalo, NY",6,2,"1,163 Sq Ft"
,25 Homer Ave,,,
"$6,030","383 Victoria Boulevard, Buffalo, NY 14217, USA",3,1,"1,684 Sq Ft"
,"524 Richmond Avenue, Buffalo, NY 14222, USA",,,
"$6,180",306 Pennsylvania Street,1,1,"1,364 Sq Ft"
,"Buffalo, NY",,,
"$3,240",,3,1,"1,300 Sq Ft"
,,,,
"$1,200",,2,1,"1,217 Sq Ft"
,,,,
"$2,200",,2,1,805 Sq Ft
,,,,
"$1,100",,2,1,"1,764 Sq Ft"
,,,,
"$1,200",,2,1,"1,200 Sq Ft"
,,,,
"$5,250",,1,1,
,,,,
"$1,599",,1,1,
,,,,
"$1,400",,2,1,
,,,,
"$1,500",,1,1,
,,,,
"$2,950",,4,2,
,,,,
"$3,690",,2,1,
,,,,
"$1,600","302 Plymouth Avenue, Buffalo, NY 14213, USA",3,1,"1,100 Sq Ft"
,"800 West Ferry Street, Buffalo, NY 14222, USA",,,
"$1,350","104 Richmond Avenue, Buffalo, NY 14222, USA",1,1.5,745 Sq Ft
,"89 Lisbon Avenue, Buffalo, NY 14214, USA",,,
"$3,900","Buffalo, NY",4,2.5,"2,640 Sq Ft"
,"351 Roesch Avenue, Buffalo, NY 14207, USA",,,
"$2,000","237 Tacoma Avenue, Buffalo, NY 14216, USA",4,1,"1,360 Sq Ft"
,"Buffalo, NY",,,
"$2,550","Buffalo, NY",3,2,"1,688 Sq Ft"
,"174 Lancaster Avenue, Buffalo, NY 14222, USA",,,
$900,"63 Kingston Place, Buffalo, NY 14210, USA",1,1,"1,341 Sq Ft"
,"81 Montrose Avenue, Buffalo, NY 14214, USA",,,
"$1,900","Buffalo, NY",3,1,"1,163 Sq Ft"
,"439 University Avenue, Unit Upper Unit",,,
"$1,860","20 Medford Place, Unit Lower",1,1,"3,987 Sq Ft"
,"617 Niagara Street, Buffalo, NY 14201, USA",,,
"$3,090","1017 Lafayette Avenue, Buffalo, NY 14209, USA",3,1,"1,300 Sq Ft"
,"Buffalo, NY",,,
$500,"79 Commonwealth Avenue, Buffalo, NY 14216, USA",1,1,"1,335 Sq Ft"
,"Buffalo, NY",,,
"$1,100","Buffalo, NY",1,1,650 Sq Ft
,"Buffalo, NY",,,
$450,,1,1,"1,400 Sq Ft"
,,,,
"$8,190",,3,2,"2,908 Sq Ft"
,,,,
"$1,550",,3,1,"2,573 Sq Ft"
,,,,
"$1,400",,3,1,
,,,,
"$2,100",,1,1,
,,,,
"$2,300",,2,1.5,
,,,,
"$6,000",,2,1,
,,,,
"$1,600",,3,1,
,,,,
"$3,420",,2,1,
,,,,
"$5,880",,4,2,
,,,,
"$14,640",,6,2,
,,,,
"$1,200","452 Franklin Street, Buffalo, NY 14202, USA",1,1,900 Sq Ft
,"4 Wadsworth Street, Buffalo, NY 14201, USA",,,
"$1,700","18 Harbour Pointe Common, Buffalo, NY 14202, USA",2,1,"5,386 Sq Ft"
,"361 Beard Avenue, Buffalo, NY 14214, USA",,,
"$4,000","445 Ashland Avenue, Buffalo, NY 14222, USA",3,2.5,"3,121 Sq Ft"
,"200 Abbott Road, Buffalo, NY 14220, USA",,,
"$1,950","1044 Elmwood Avenue, Buffalo, NY 14222, USA",3,1,"3,150 Sq Ft"
,"Buffalo, NY",,,
"$2,000","Buffalo, NY",2,1,"3,462 Sq Ft"
,"Buffalo, NY",,,
"$1,300","Buffalo, NY",3,1,"2,388 Sq Ft"
,"Buffalo, NY",,,
"$1,500","102 Mulberry Street, Buffalo, NY 14204, USA",3,1,"1,147 Sq Ft"
,"152 Oxford Avenue, Buffalo, NY 14209, USA",,,
"$5,700","91 Grant Street, Buffalo, NY 14213, USA",4,2,"2,100 Sq Ft"
,"1168 Tonawanda Street, Buffalo, NY 14207, USA",,,
"$10,500","Buffalo, NY",6,2,"1,163 Sq Ft"
,25 Homer Ave,,,
"$6,030","383 Victoria Boulevard, Buffalo, NY 14217, USA",3,1,"1,684 Sq Ft"
,"524 Richmond Avenue, Buffalo, NY 14222, USA",,,
"$6,180",306 Pennsylvania Street,1,1,"1,364 Sq Ft"
,"Buffalo, NY",,,
"$3,240",,3,1,"1,300 Sq Ft"
,,,,
"$1,200",,2,1,"1,217 Sq Ft"
,,,,
"$2,200",,2,1,805 Sq Ft
,,,,
"$1,100",,2,1,"1,764 Sq Ft"
,,,,
"$1,200",,2,1,"1,200 Sq Ft"
,,,,
"$5,250",,1,1,
,,,,
"$1,599",,1,1,
,,,,
"$1,400",,2,1,
,,,,
"$1,500",,1,1,
,,,,
"$2,950",,4,2,
,,,,
"$3,690",,2,1,
,,,,
"$1,600","302 Plymouth Avenue, Buffalo, NY 14213, USA",3,1,"1,100 Sq Ft"
,"800 West Ferry Street, Buffalo, NY 14222, USA",,,
"$1,350","104 Richmond Avenue, Buffalo, NY 14222, USA",1,1.5,745 Sq Ft
,"89 Lisbon Avenue, Buffalo, NY 14214, USA",,,
"$3,900","Buffalo, NY",4,2.5,"2,640 Sq Ft"
,"351 Roesch Avenue, Buffalo, NY 14207, USA",,,
"$2,000","237 Tacoma Avenue, Buffalo, NY 14216, USA",4,1,"1,360 Sq Ft"
,"Buffalo, NY",,,
"$2,550","Buffalo, NY",3,2,"1,688 Sq Ft"
,"174 Lancaster Avenue, Buffalo, NY 14222, USA",,,
$900,"63 Kingston Place, Buffalo, NY 14210, USA",1,1,"1,341 Sq Ft"
,"81 Montrose Avenue, Buffalo, NY 14214, USA",,,
"$1,900","Buffalo, NY",3,1,"1,163 Sq Ft"
,"439 University Avenue, Unit Upper Unit",,,
"$1,860","20 Medford Place, Unit Lower",1,1,"3,987 Sq Ft"
,"617 Niagara Street, Buffalo, NY 14201, USA",,,
"$3,090","1017 Lafayette Avenue, Buffalo, NY 14209, USA",3,1,"1,300 Sq Ft"
,"Buffalo, NY",,,
$500,"79 Commonwealth Avenue, Buffalo, NY 14216, USA",1,1,"1,335 Sq Ft"
,"Buffalo, NY",,,
"$1,100","Buffalo, NY",1,1,650 Sq Ft
,"Buffalo, NY",,,
$450,,1,1,"1,400 Sq Ft"
,,,,
"$8,190",,3,2,"2,908 Sq Ft"
,,,,
"$1,550",,3,1,"2,573 Sq Ft"
,,,,
"$1,400",,3,1,
,,,,
"$2,100",,1,1,
,,,,
"$2,300",,2,1.5,
,,,,
"$6,000",,2,1,
,,,,
"$1,600",,3,1,
,,,,
"$3,420",,2,1,
,,,,
"$5,880",,4,2,
,,,,
"$14,640",,6,2,
,,,,
